yearID,AverageBattingAverage
1871,0.28654592496765846
1872,0.2851579955314395
1873,0.2904652396957368
1874,0.2734505862646566
1875,0.25386650765848023
1876,0.2652949654589732
1877,0.27109094900124386
1878,0.25938141307534446
1879,0.2554750569240323
1880,0.24468128883585039
1881,0.2600402018295935
1882,0.248258132718274
1883,0.25711808565978844
1884,0.24327612704918034
1885,0.24400159426066162
1886,0.2464656437259177
1887,0.27074329296848865
1888,0.2386033749121807
1889,0.2637359763592144
1890,0.26025449696669994
1891,0.2537857326809168
1892,0.2448963617007953
1893,0.2796759112798341
1894,0.3093075359952759
1895,0.296312601253786
1896,0.29042589560429677
1897,0.2915835730547271
1898,0.27058297824803307
1899,0.28229322470801643
1900,0.2791832771133599
1901,0.2717981972634719
1902,0.2667802831672784
1903,0.2621455745701825
1904,0.2468601493550577
1905,0.24801446689963588
1906,0.24658697742970984
1907,0.2453302450687388
1908,0.23895933266401417
1909,0.24384404500514806
1910,0.2493163787078025
1911,0.2663959835158824
1912,0.26864052462853033
1913,0.2588283096926714
1914,0.2539339407930694
1915,0.25027936633142706
1916,0.24761056113667712
1917,0.2485040521601365
1918,0.2538067295550769
1919,0.2628061764272609
1920,0.27649742212929745
1921,0.29096416662753016
1922,0.2883907857427413
1923,0.28415210785061423
1924,0.2866676115559965
1925,0.2916237475419047
1926,0.28065001432801606
1927,0.28368122565444404
1928,0.28096590909090907
1929,0.2891914094589837
1930,0.29567638123621076
1931,0.27759050609530844
1932,0.2765020302355991
1933,0.26951960761305765
1934,0.27891655317712516
1935,0.27851498779457873
1936,0.2837011342111869
1937,0.2765026813861778
1938,0.2739933892463506
1939,0.27534490274390605
1940,0.2674557864260549
1941,0.26243389941062734
1942,0.2529051366877262
1943,0.25344446936872056
1944,0.2603980622191093
1945,0.26024607150046775
1946,0.25559389562804596
1947,0.2605879008953527
1948,0.26340168935328334
1949,0.2627162834794975
1950,0.2659538096978414
1951,0.2608710985716805
1952,0.25265158263554843
1953,0.2642328552772451
1954,0.26100838734273735
1955,0.2585237468596722
1956,0.25821646632322076
1957,0.257520081030787
1958,0.2579240578811123
1959,0.2566730728165706
1960,0.25512414597567074
1961,0.2583271498062495
1962,0.2576702081526453
1963,0.2462618609649043
1964,0.2504797943221321
1965,0.2456009258331131
1966,0.24854065608813616
1967,0.24233322650061812
1968,0.2366923827585572
1969,0.2481662312338617
1970,0.25393522022097775
1971,0.24931823752910895
1972,0.24380747909122955
1973,0.2569449166307805
1974,0.25684278974110814
1975,0.2575661922980384
1976,0.2554495343090667
1977,0.26419169994790764
1978,0.2578849590653189
1979,0.2654980671186061
1980,0.26459489456159824
1981,0.2557189283030053
1982,0.26119501349298296
1983,0.26085775195418637
1984,0.259898907730708
1985,0.25705399266119167
1986,0.2577110673207273
1987,0.2629862243658697
1988,0.2542225464339824
1989,0.25411529116866566
1990,0.2578799170682506
1991,0.2557075709249622
1992,0.2557402288393576
1993,0.2650924223362044
1994,0.26973863203526016
1995,0.26683072215687265
1996,0.269896237906646
1997,0.2668009109741505
1998,0.2662162809066756
1999,0.27119668296068494
2000,0.2704644629087214
2001,0.2639592381823213
2002,0.2613327535601696
2003,0.2642304947312234
2004,0.26603646185010127
2005,0.26447229987675475
2006,0.26934821711355855
2007,0.2680664906456554
2008,0.2637570929855921
2009,0.2624314888844672
2010,0.25735245202687584
2011,0.25507377568570655
2012,0.2545400632976502
2013,0.25346540615403146
2014,0.2511563032110812
2015,0.2544353669148216
2016,0.25534999184590573
2017,0.25497230728345627
2018,0.2479447748924029
2019,0.25225771222494914
2020,0.2446044384211418
2021,0.24381719268128516
2022,0.24271250726455204
